trade_date,symbol,pre_close,open,high,low,close,total_vol,total_amt,upper_limit,lower_limit
2022-11-09,600519.SH,1484.88,1483.95,1488.88,1450.0,1459.9,3609016,5276777530.0,1633.37,1336.39
2022-11-08,600519.SH,1507.11,1508.0,1517.99,1468.96,1484.88,3932491,5842320995.0,1657.82,1356.4
2022-11-07,600519.SH,1516.57,1494.05,1518.48,1486.59,1507.11,4269835,6414049133.0,1668.23,1364.91
2022-11-04,600519.SH,1439.5,1437.96,1527.77,1437.96,1516.57,8000795,11996968945.0,1583.45,1295.55
2022-11-03,600519.SH,1471.96,1443.57,1462.5,1428.1,1439.5,4515970,6509550787.0,1619.16,1324.76
2022-11-02,600519.SH,1462.01,1460.0,1506.0,1436.0,1471.96,7977715,11717204099.0,1608.21,1315.81
2022-11-01,600519.SH,1350.0,1359.0,1469.4,1359.0,1462.01,11876648,16859775304.0,1485.0,1215.0
2022-10-31,600519.SH,1360.0,1350.0,1382.01,1333.0,1350.0,7184665,9758303071.0,1496.0,1224.0
2022-10-28,600519.SH,1401.0,1390.77,1406.0,1358.71,1360.0,9314275,12823821843.0,1541.1,1260.9
2022-10-27,600519.SH,1464.08,1480.0,1487.98,1383.85,1401.0,10710590,15258551283.0,1610.49,1317.67
2022-10-26,600519.SH,1479.75,1488.8,1514.99,1460.0,1464.08,8178083,12120993864.0,1627.73,1331.78
2022-10-25,600519.SH,1501.28,1479.42,1515.0,1472.0,1479.75,8136156,12136909034.0,1651.41,1351.15
2022-10-24,600519.SH,1624.0,1570.0,1589.0,1488.01,1501.28,13209804,20217576174.0,1786.4,1461.6
2022-10-21,600519.SH,1643.5,1640.0,1647.8,1610.0,1624.0,3890740,6317945876.0,1807.85,1479.15
2022-10-20,600519.SH,1648.0,1621.0,1668.43,1611.0,1643.5,4277807,7020555512.0,1812.8,1483.2
2022-10-19,600519.SH,1705.83,1701.98,1701.98,1648.0,1648.0,6012093,9997656284.0,1876.41,1535.25
2022-10-18,600519.SH,1718.5,1725.0,1730.0,1701.0,1705.83,2808277,4800689502.0,1890.35,1546.65
2022-10-17,600519.SH,1737.61,1726.0,1727.99,1697.8,1718.5,3354951,5740146639.0,1911.37,1563.85
2022-10-14,600519.SH,1699.99,1710.0,1755.0,1701.94,1737.61,4651970,8045032623.0,1869.99,1529.99
2022-10-13,600519.SH,1760.0,1720.46,1735.0,1697.0,1699.99,6396927,10919727537.0,1936.0,1584.0
2022-10-12,600519.SH,1779.99,1773.66,1779.0,1708.0,1760.0,4819500,8372252823.0,1957.99,1601.99
2022-10-11,600519.SH,1786.0,1789.0,1806.0,1760.0,1779.99,3204719,5712249507.0,1964.6,1607.4
2022-10-10,600519.SH,1872.5,1890.0,1891.0,1780.2,1786.0,4858413,8865386496.0,2059.75,1685.25
2022-09-30,600519.SH,1880.35,1898.62,1901.99,1866.0,1872.5,2128908,4000917951.0,2068.39,1692.32
2022-09-29,600519.SH,1883.0,1897.98,1902.18,1871.13,1880.35,2158966,4075515187.0,2071.3,1694.7
2022-09-28,600519.SH,1888.0,1880.5,1899.4,1874.01,1883.0,2144597,4042506330.0,2076.8,1699.2
